"RentStation","ReturnStation","Riderships","Date"
1,250,1,2019-11-13
1,253,2,2019-11-11
1,255,18,2019-11-11
1,255,10,2019-11-15
1,255,8,2019-11-13
1,257,2,2019-11-15
1,261,2,2019-11-11
1,261,2,2019-11-15
1,267,10,2019-11-11
1,267,4,2019-11-15
1,267,5,2019-11-13
1,276,10,2019-11-11
1,276,3,2019-11-13
1,277,4,2019-11-11
1,279,4,2019-11-11
1,279,1,2019-11-13
1,281,2,2019-11-15
1,282,20,2019-11-11
1,282,14,2019-11-15
1,282,7,2019-11-13
1,291,24,2019-11-11
1,291,12,2019-11-15
1,291,8,2019-11-13
1,292,8,2019-11-11
1,292,4,2019-11-15
1,292,3,2019-11-13
1,294,6,2019-11-11
1,294,1,2019-11-13
1,298,2,2019-11-15
1,300,10,2019-11-11
1,300,4,2019-11-15
1,300,3,2019-11-13
1,304,1,2019-11-13
1,306,2,2019-11-15
1,307,4,2019-11-11
1,307,4,2019-11-15
1,307,2,2019-11-13
1,308,4,2019-11-11
1,308,10,2019-11-15
1,308,1,2019-11-13
1,309,6,2019-11-11
1,309,2,2019-11-15
1,309,1,2019-11-13
1,310,2,2019-11-15
1,312,8,2019-11-11
1,312,4,2019-11-15
1,312,8,2019-11-13
1,314,2,2019-11-15
1,314,1,2019-11-13
1,315,2,2019-11-11
1,316,2,2019-11-11
1,320,18,2019-11-11
1,320,2,2019-11-15
1,320,6,2019-11-13
1,321,2,2019-11-15
1,325,2,2019-11-11
1,326,18,2019-11-11
1,326,20,2019-11-15
1,326,10,2019-11-13
1,331,4,2019-11-11
1,333,4,2019-11-11
1,333,4,2019-11-15
1,333,2,2019-11-13
1,334,4,2019-11-11
1,334,4,2019-11-15
1,334,2,2019-11-13
1,336,1,2019-11-13
1,338,6,2019-11-11
1,338,2,2019-11-15
1,338,1,2019-11-13
1,340,10,2019-11-11
1,340,4,2019-11-15
1,340,1,2019-11-13
1,343,6,2019-11-11
1,343,4,2019-11-15
1,348,6,2019-11-11
1,350,2,2019-11-11
1,357,16,2019-11-11
1,357,4,2019-11-15
1,357,8,2019-11-13
1,359,8,2019-11-11
1,359,2,2019-11-15
1,359,1,2019-11-13
1,362,2,2019-11-11
1,362,2,2019-11-15
1,363,2,2019-11-11
1,364,6,2019-11-11
1,364,2,2019-11-13
1,376,2,2019-11-15
1,379,24,2019-11-11
1,379,10,2019-11-15
1,379,5,2019-11-13
1,380,2,2019-11-11
1,384,2,2019-11-15
1,387,18,2019-11-11
1,387,22,2019-11-15
1,387,7,2019-11-13
1,388,2,2019-11-11
1,388,1,2019-11-13
1,389,8,2019-11-11
1,389,4,2019-11-15
1,389,1,2019-11-13
1,392,6,2019-11-11
1,392,12,2019-11-15
1,392,6,2019-11-13
1,394,12,2019-11-11
1,394,12,2019-11-15
1,394,10,2019-11-13
1,395,36,2019-11-11
1,395,26,2019-11-15
1,395,13,2019-11-13
1,396,2,2019-11-11
1,399,2,2019-11-11
1,399,2,2019-11-15
1,400,2,2019-11-11
1,400,1,2019-11-13
1,1003,1,2019-11-13
1,1006,2,2019-11-11
1,1043,2,2019-11-15
1,1100,2,2019-11-11
1,1154,2,2019-11-15
1,1155,4,2019-11-11
1,1192,2,2019-11-11
1,1192,2,2019-11-15
1,1192,1,2019-11-13
1,1229,1,2019-11-13
1,1235,10,2019-11-11
1,1246,4,2019-11-11
1,1281,1,2019-11-13
1,1328,1,2019-11-13
1,1406,1,2019-11-13
2,1,36,2019-11-11
2,1,36,2019-11-15
2,1,20,2019-11-13
2,2,88,2019-11-11
2,2,94,2019-11-15
2,2,30,2019-11-13
2,3,8,2019-11-11
2,3,12,2019-11-15
2,3,4,2019-11-13
2,4,8,2019-11-11
2,4,6,2019-11-15
2,4,8,2019-11-13
2,5,4,2019-11-11
2,5,4,2019-11-15
2,5,3,2019-11-13
2,6,22,2019-11-11
2,6,26,2019-11-15
2,6,13,2019-11-13
2,7,8,2019-11-11
2,7,8,2019-11-15
2,7,4,2019-11-13
2,8,14,2019-11-11
2,8,8,2019-11-15
2,8,9,2019-11-13
2,9,2,2019-11-11
2,9,2,2019-11-15
2,10,14,2019-11-11
2,10,12,2019-11-15
2,10,7,2019-11-13
2,11,188,2019-11-11
2,11,166,2019-11-15
2,11,89,2019-11-13
2,12,8,2019-11-11
2,12,8,2019-11-15
2,13,2,2019-11-11
2,13,2,2019-11-15
2,13,1,2019-11-13
2,14,2,2019-11-15
2,15,4,2019-11-11
2,15,2,2019-11-15
2,15,3,2019-11-13
2,16,1,2019-11-13
